launcher,date,payload,payload_detail,orbit,location,status
H-IIA 202,2025-06-28T16:33:00Z,GOSAT-GW,"GOSAT-GW (Greenhouse Gases Observing Satellite Greenhouse gases and Water cycle), also known as Ibuki GW and formerly known as GOSAT 3, is JAXA's next-generation satellite to monitor the greenhouse gases like carbon dioxide in the Earth's atmosphere. It is the follow on to the GOSAT 2 (Ibuki 2) and GCOM-W (Shizuku) missions.GOSAT-GW will have 2 instruments:* Total Anthropogenic and Natural emissions mapping SpectrOmeter-3 (TANSO-3), for observing concentrations of greenhouse gases, such as carbon dioxide and methane, over a wide area and with high precision for improved estimation accuracy of greenhouse gas emissions* Advanced Microwave Scanning Radiometer 3 (AMSR-3), which will estimate the geophysical quantity of Earth's water on land, sea-surface, and in the atmosphere.",Sun-Synchronous Orbit,"LA-Y1, Tanegashima Space Center, Japan",Success
Falcon 9 Block 5,2025-06-28T17:13:00Z,Starlink Group 15-7,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
New Shepard,2025-06-29T14:39:00Z,NS-33,"This mission is the 13th human flight for the New Shepard program and the 33rd in its history. The crew includes: Allie Kuehner and her husband, Carl Kuehner, Leland Larson, Freddie Rescigno, Jr., Owolabi Salis, and James (Jim) Sitkin.",Suborbital,"Launch Site One, West Texas, Texas, USA",Success
Falcon 9 Block 5,2025-07-01T21:04:00Z,MTG-S1/Sentinel-4A,"MTG (Meteosat Third Generation) is the follow-up system to the Meteosat MSG series of geostationary satellites.The satellite system will consist of a twin configuration of 3-axis-stabilised satellites: the Imaging mission satellite (MTG-I) and the Sounding mission satellite (MTG-S).The payload proposed for MTG-S would have an Infrared Sounder (IRS) and Ultra-violet Visible Near-infrared (UVN) Sounder, the later of which is included as the Sentinel-4 missionThe Sentinel-4 mission focuses on monitoring trace gas concentrations and aerosols in the atmosphere to support operational services covering air-quality near-real-time applications, air-quality protocol monitoring, and climate protocol monitoring. The specific objective of Sentinel-4 is to support this with a high revisit time over Europe.The Sentinel-4/UVN instrument is a high-resolution spectrometer system operating with 3 designated bands in the solar reflectance spectrum, covering the ultraviolet (305-400 nm), visible (400-500 nm), and near-infrared (750-775 nm) bands. The central Sentinel-4/UVN instrument parameters are a spatial sampling of 8 km over Europe and a fast repeat cycle over Europe and North Africa (Sahara) of 60 minutes.The respective spectral resolution is 0.5 nm in the ultraviolet and visible bands, with the goal of 0.12 nm in near-infrared.",Geostationary Transfer Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-07-02T06:28:00Z,Starlink Group 10-25,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 4C,2025-07-03T09:35:00Z,Shiyan 28 B-01,"Satellite officially named for """"space environment detection"""" purposes, exact details unknown.",Low Earth Orbit,"LC-3, Xichang Satellite Launch Center, China",Success
Soyuz 2.1a,2025-07-03T19:32:00Z,Progress MS-31,"Progress (in Russian: """"Прогресс"""") MS-31 is a Russian cargo vehicle which will resupply the International Space Station. This will be the 184th flight of a Progress.It was the first cargo to fly in space, and also the first to bring freight back to Earth, thanks to a Raduga capsule.It's a cargo ship developed to supply the Salyut 6 space station, which was subsequently used successively to supply the crews staying on board the Salyut 7, Mir and from the International Space Station. It made its first flight in 1978 and was the first vessel of this type: it enabled the crews to stay in space by bringing consumables (food, water, fuel, oxygen) and spare parts.The Progress spacecraft is largely derived from the Soyuz spacecraft intended for the transport of crews in low orbit. It is launched by a Soyuz rocket lifting off from the Baikonur cosmodrome. It has a mass of around 7 tonnes for a length of 7.9 meters and its carrying capacity is around 2.5 tonnes. It can transport both pressurized freight and gases, propellants and liquids but is not designed to bring freight back to Earth (except with a Raduga capsule). Like the Soyuz spacecraft, it is equipped with a Kours automatic docking system. Several variants of the Progress spacecraft have been developed over the decades with increasing capabilities.",Low Earth Orbit,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success
Falcon 9 Block 5,2025-07-08T08:21:00Z,Starlink Group 10-28,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-07-13T05:04:00Z,Dror-1,"Dror-1 is a geostationary communication satellite built and developed by Israel Aerospace Industries (IAI). It is intended to meet the satellite communication needs of Israel for the next 15 years. Dror-1 is comprised primarily of local Israeli technologies developed at IAI, including an advanced digital communication payload and “smartphone in space” capabilities, to provide communication agility throughout the satellite’s lifetime in space.",Geostationary Transfer Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 7,2025-07-14T21:34:00Z,Tianzhou 9,"The Tianzhou (Chinese: 天舟; lit. 'Heavenly Ship') is a Chinese automated cargo spacecraft developed from China's first prototype space station Tiangong-1 to resupply the Chinese Space Station. It was first launched (Tianzhou 1) on the Long March 7 rocket on April 20, 2017, and demonstrated autonomous propellant transfer (space refueling).The Tianzhou cargo ship has several notable differences from the Tiangong stations from which it is derived. It has only three segments of solar panels (against 4 for Tiangong) but has 4 maneuvering engines (against 2).Classically, the Tianzhou space freighter consists of two sub-assemblies: the service module in which the propulsion, energy system, and various equipment necessary for the operation of the spacecraft are located, and the orbital module containing the cargo.The service module is similar to the service module of Tiangong 1 with some modifications: a larger number of propellant tanks, and a more powerful propulsion system. The module is 3.3 meters long and has a diameter of 2.8 meters. The main propulsion used for orbital maneuvers consists of 4 rocket engines with a unit thrust of 490 newtons.The cargo module is 5 meters long and has in its basic version a pressurized bunker to transport cargo with a volume of 15 m3. The front part is equipped with an APAS-type hatch that allows electrical connections to be made, as well as 4 pipelines used to transfer fluids to the space station's tanks.",Low Earth Orbit,"LC-201, Wenchang Space Launch Site, China",Success
Falcon 9 Block 5,2025-07-16T02:05:00Z,Starlink Group 15-2,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-07-16T06:30:00Z,Project Kuiper (KF-01),"Project Kuiper is a mega constellation of satellites in Low Earth Orbit that will offer broadband internet access managed by Kuiper Systems LLC, a subsidiary of Amazon. This constellation is planned to be composed of 3,236 satellites. The satellites are projected to be placed in 98 orbital planes in three orbital layers, one at 590 km, 610 km, and 630 km altitude.",Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-07-19T03:52:00Z,Starlink Group 17-3,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-07-22T21:12:00Z,O3b mPOWER 9 & 10,The O3b mPOWER satellites are improved second-generation satellites for the SES-owned O3b Networks.,Medium Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-07-23T18:13:00Z,TRACERS & Others,"NASA's Tandem Reconnection and Cusp Electrodynamics Reconnaissance Satellites (TRACERS) mission, consisting of two identical satellites that will orbit Earth in tandem (one following the other), will help understand magnetic reconnection and its effects in Earth’s atmosphere. Magnetic reconnection occurs when activity from the Sun interacts with Earth’s magnetic field. By understanding this process, scientists will be able to better understand and prepare for impacts of solar activity on Earth.Bard will flight-demonstrate the Polylingual Experimental Terminal (PExT), an advanced communications technology developed in collaboration with the Johns Hopkins Applied Physics Laboratory (APL) and NASA's SCaN (Space Communications and Navigation) Program. The terminal is designed to enable real-time interoperability between government and commercial satellite relay networks—a first-of-its-kind capability as NASA shifts toward a commercial satellite relay communications architecture.NASA, the U.S. Space Force, NOAA, and NovaWurks have strategically aligned efforts to gain wisdom from Athena EPIC (Economical Payload Integration Cost) — a SmallSat that will demonstrate the ability of NovaWurks SensorCraft architecture to support future missions. Athena serves as a pilot opportunity for transformational activities by pathfinding an innovative space vehicle architecture, learning from commercial best practices, implementing a whole-of-government approach, and reducing schedule to launch as well as lifecycle costs. The instrument will be a simplified and lighter version of the CERES (Clouds and the Earth Radiant Energy System) instrument.Realistic Electron Atmospheric Loss (REAL) is a scientific investigation mission designed to characterize the loss of particles from Earth’s Van Allen radiation belts. REAL will carry an energetic particle instrument that is sensitive to both electrons and protons. From its vantage point in low-Earth orbit, REAL will point its instrument along Earth’s magnetic field to measure radiation belt particles as they enter the atmosphere.The Skykraft-4 constellation spacecraft are technology demonstrators and pathfinders for the roll-out of a space-based Air Traffic Management constellation. The spacecraft will demonstrate ADS-B and VHF capabilities from space.LIDE is a 12U satellite developed by Tyvak and designed to serve as a testbed for direct access tests with ground terminals using a bidirectional K/Ka band RF transponder.",Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Soyuz 2.1b/Fregat-M,2025-07-25T05:54:00Z,"Ionosfera-M n°3, 4","Ionosfera is a constellation of four ionospheric and magnetospheric research satellites developed by for Roscosmos for the project Ionozond.The satellites will operate on circular sun-synchronous orbits (SSO), at altitude of about 800 km and located in two orbital planes of two satellites each.The following science instruments are carried on the satellites:* SPER/1 Plasma and energy radiation spectrometer* SG/1 Gamma-ray spectrometer* GALS/1 Galactic cosmic ray spectrometer / 1* LAERTES On-board Ionosonde* NBK/2 Low-frequency wave complex* ESEP Ionospheric plasma energy spectrometer* Ozonometer-TM Ozonometer* MayaK On-board radio transmitters* PES GPS-GLONASS device",Sun-Synchronous Orbit,"Site 1S, Vostochny Cosmodrome, Russia",Success
Vega C,2025-07-26T02:03:00Z,CO3D & MicroCarb,"CO3D (Constellation Optique en 3D) is an Earth observation satellite constellation by the French CNES consisting initially of 4 satellites. The satellites will deliver 50 cm resolution stereo imagery across the world on a daily basis to produce a cutting-edge 3D map of the Earth’s landmass.Weighing approximately 285 kg each, the CO3D satellites will join Airbus’ fleet of optical and radar satellites, strengthening the company’s ability to meet the growing needs of very demanding applications. The satellites are based on all electric propulsion platforms derived from the OneWeb bu.MicroCarb is a small satellite designed to map sources and sinks of carbon dioxide (CO2)—the most important greenhouse gas — on a global scale. MicroCarb's dispersive spectrometer instrument will be able to measure atmospheric concentration of CO2 globally with a high degree of precision (on the order of 1 ppm) and with a pixel size of 4.5 km x 9 km.The instrument will be flown on a microsatellite built around CNES’s Myriade spacecraft bus. This mission involves the French scientific community studying climatology and the carbon cycle. The mission will be funded by the Investments for the Future Programmes.",Sun-Synchronous Orbit,"ELV, Guiana Space Centre, French Guiana, France",Success
Falcon 9 Block 5,2025-07-26T09:01:00Z,Starlink Group 10-26,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-07-27T04:31:00Z,Starlink Group 17-2,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Long March 6A,2025-07-27T10:03:00Z,SatNet LEO Group 05,A batch of Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.,Polar Orbit,"LC-9A, Taiyuan Satellite Launch Center, China",Success
Hyperbola 1,2025-07-29T04:11:00Z,Kunpeng-03,Commercial Earth observation satellite in SSO with sub-meter resolution capability.,Sun-Synchronous Orbit,"Site 95A, Jiuquan Satellite Launch Center, China",Success
Eris,2025-07-29T22:35:00Z,TestFlight1,First test flight of Gilmour Space's Eris rocket.,Low Earth Orbit,"Orbital Launch Pad, Bowen Orbital Spaceport, Australia",Failure
Falcon 9 Block 5,2025-07-30T03:37:00Z,Starlink Group 10-29,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 8A,2025-07-30T07:49:00Z,SatNet LEO Group 06,A batch of Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.,Low Earth Orbit,"Commercial LC-1, Wenchang Space Launch Site, China",Success
GSLV Mk II,2025-07-30T12:10:00Z,NISAR,"The NASA-ISRO Synthetic Aperture Radar, or NISAR satellite, will use advanced radar imaging to map the elevation of Earth's land and ice masses 4 to 6 times a month at resolutions of 5 to 10 meters. It is designed to observe and measure some of the planet's most complex natural processes, including ecosystem disturbances, ice-sheet collapse, and natural hazards such as earthquakes, tsunamis, volcanoes and landslides.Under the terms of the agreement, NASA will provide the mission's L band synthetic aperture radar (SAR), a high-rate telecommunication subsystem for scientific data, GPS receivers, a solid-state recorder, and a payload data subsystem. ISRO will provide the satellite bus, an S band synthetic aperture radar, the launch vehicle, and associated launch services.",Sun-Synchronous Orbit,"Second Launch Pad, Satish Dhawan Space Centre, India",Success
Kuaizhou 1A,2025-07-31T02:00:00Z,PRSC-S1,Chinese built Earth observation satellite for Pakistan’s SUPARCO (Space & Upper Atmosphere Research Commission).,Low Earth Orbit,"Mobile Launcher Pad, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-07-31T18:35:00Z,Starlink Group 13-4,"SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.The previous Group 13 mission (13-1) carried two classified payloads (USA 485 & 486), suspected to be Starshield payloads, in addition to its Starlink payload. The announced payload of 19 Starlink satellites on this launch indicates that this mission may similarly carry more classified payloads, as previous recent missions to this inclination have included 24 Starlink satellites, 5 more than are on this mission.",Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-08-01T15:43:00Z,SpaceX Crew-11,"SpaceX Crew-11 is the eleventh operational crewed rotation mission of a Crew Dragon spacecraft to the International Space Station. The crew is composed of NASA astronauts commander Zena Cardman and pilot Mike Fincke, and mission specialists Kimiya Yui of Japan's JAXA and Oleg Platanov of Russia's Roscosmos.",Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
New Shepard,2025-08-03T12:42:00Z,NS-34,"This mission is the 14th human flight for the New Shepard program and the 34th in its history. The crew includes Arvi Bahal, Gökhan Erdem, Deborah Martorell, Lionel Pitchford, J.D. Russell, and H.E. Justin Sun, the winning bidder for the first New Shepard seat in 2021, who was unable to attend that flight due to a scheduling conflict. J.D. Russell is flying for the second time; he previously flew on NS-28.",Suborbital,"Launch Site One, West Texas, Texas, USA",Success
Falcon 9 Block 5,2025-08-04T07:57:00Z,Starlink Group 10-30,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 12,2025-08-04T10:21:00Z,SatNet LEO Group 07,A batch of Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.,Low Earth Orbit,"Commercial LC-2, Wenchang Space Launch Site, China",Success
Electron/Curie,2025-08-05T04:10:00Z,The Harvest Goddess Thrives,"iQPS’s satellites are small, high-performance SAR satellites that use a lightweight, large, stowable antenna to collect high resolution images of Earth, even through clouds and adverse weather conditions. Ultimately, the iQPS constellation is planned to have 36 satellites capable of monitoring specific fixed points on Earth every 10 minutes. In addition to launching on Electron, the QPS-SAR satellite will use a Rocket Lab Motorized Lightband as its separation system for deployment to space.",Low Earth Orbit,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Success
Jielong 3,2025-08-08T16:31:00Z,Geely Constellation Group 04,LEO communications satellites for Chinese car manufacturer Geely Automotive for testing autonomous driving/inter-vehicle communication services. They also carry payloads for ocean observation.,Low Earth Orbit,"Oriental Spaceport Launch Ship (Area 1), China Coastal Waters",Success
Falcon 9 Block 5,2025-08-11T12:35:00Z,Project Kuiper (KF-02),"Project Kuiper is a mega constellation of satellites in Low Earth Orbit that will offer broadband internet access managed by Kuiper Systems LLC, a subsidiary of Amazon. This constellation is planned to be composed of 3,236 satellites. The satellites are projected to be placed in 98 orbital planes in three orbital layers, one at 590 km, 610 km, and 630 km altitude.",Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Ariane 62,2025-08-13T00:37:00Z,METOP-SG A1,"METOP-SG (Meteorological Operational - Second Generation) is Europe's second-generation polar-orbiting operational meteorological satellite system to replace the first-generation METOP satellites.In October 2014, Airbus Defense and Space was selected to build these satellites. The Satellite A-series will be developed and built under the industrial lead of Airbus Defence and Space in Toulouse.The METOP-SG Series consists of two subseries with three units in each series with different instrument suites: METOP-SG-A and METOP-SG-B. The Satellite A-series focuses on optical instruments and atmospheric sounders, while the Satellite B-series focuses on microwave instruments. Both types will be based on Airbus Defense and Space’s Astrobus high-power satellite platforms.",Sun-Synchronous Orbit,"ELA-4, Guiana Space Centre, French Guiana, France",Success
Vulcan VC4S,2025-08-13T00:56:00Z,USSF-106 (NTS-3 & USA-554),"NTS-3 (Navigation Technology Satellite 3) is a demonstration navigation satellite. NTS-3 will experiment with a new digital signal generator that can be reprogrammed on-orbit, enabling it to broadcast new signals, improve performance by avoiding and defeating interference, and adding signatures for detecting spoofing attacks.NTS-3 will be the aft payload on the USSF-106 mission.USSF-106 also launched a classified payload for the United States Space Force identified as USA-554 by the US government.",Geosynchronous Orbit,"SLC-41, Cape Canaveral SFS, Florida, USA",Success
Long March 5B/YZ-2,2025-08-13T06:43:00Z,SatNet LEO Group 08,A batch of 10 Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.,Polar Orbit,"LC-101, Wenchang Space Launch Site, China",Success
Falcon 9 Block 5,2025-08-14T05:05:00Z,Starlink Group 17-4,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-08-14T12:29:00Z,Starlink Group 10-20,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
ZhuQue-2E,2025-08-15T01:17:00Z,Unknown Payload,"","","Site 96, Jiuquan Satellite Launch Center, China",Failure
Long March 4C,2025-08-17T08:55:00Z,Shiyan 28 B-02,"Satellite officially named for """"space environment detection"""" purposes, exact details unknown.",Low Earth Orbit,"LC-3, Xichang Satellite Launch Center, China",Success
Long March 6A,2025-08-17T14:15:00Z,SatNet LEO Group 09,A batch of 5 Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.,Polar Orbit,"LC-9A, Taiyuan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-08-18T16:26:00Z,Starlink Group 17-5,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Kinetica 1,2025-08-19T07:33:00Z,7 satellites,A share ride mission of 7 various Earth observation and technological demonstration satellites:* AIRSAT-05/Haishao-2* Tianyan 26* Duogongneng Shiyan-2 01-03* ThumbSat-1/2 (Mexico),Sun-Synchronous Orbit,"Site 130, Jiuquan Satellite Launch Center, China",Success
Soyuz 2.1b,2025-08-20T17:13:00Z,Bion-M n°2,"Bion-M is an uncrewed Russian spacecraft, which is capable of returning to Earth with biological experiments.Bion-M is the next generation of Russian biological research satellites, based on the Vostok spacecraft. While retaining the Vostok spacecraft/Zenit reconnaissance satellite-derived reentry module of the earlier Bion series, the propulsion module has been replaced by one derived from Yantar reconnaissance satellites, providing maneuvering capabilities and longer mission support. Maximum mission duration has been increased to up to 6 months by using solar cells for energy generation. The mass of scientific equipment that can be carried has also been increased by 100 kilograms.",Low Earth Orbit,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success
Angara 1.2,2025-08-21T09:32:00Z,Cosmos 2590-2593 (?),4 classified satellites for the Russian military.,Polar Orbit,"Site 35/1, Plesetsk Cosmodrome, Russia",Success
Falcon 9 Block 5,2025-08-22T03:50:00Z,USSF-36 (OTV-8),"This mission will launch the US Space Force X-37B spaceplane into a low-earth orbit, where it will aim to accomplish a wide range of test and experimentation objectives. These will include demonstrations of high-bandwidth inter-satellite laser communications technologies and enhanced space navigation using the highest performing quantum inertial sensor in space.LIMASAT likely is a small satellite that was deployed from the X-37B's payload bay or service module shortly after launch.",Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-08-22T17:04:00Z,Starlink Group 17-6,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Electron/Curie,2025-08-23T22:42:00Z,"Live, Laugh, Launch","EchoStar Lyra Block 1 is a 4-satellite constellation that will deliver global Internet of Things (IoT), machine-to-machine (M2M) and other data services.  EchoStar will operate the constellation from its Australian subsidiary, EchoStar Global.Another 4 confidential payloads are also onboard this mission.",Sun-Synchronous Orbit,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",Success
Falcon 9 Block 5,2025-08-24T06:45:00Z,CRS SpX-33,"SpaceX CRS-33 is a Commercial Resupply Service mission to the International Space Station. The mission is contracted by NASA and will be flown by SpaceX using a Cargo Dragon. While docked, Dragon will perform a series of burns to help the International Space Station maintain its current altitude, using an independent propellant system and two Draco engines in the spacecraft’s modified trunk.",Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 8A,2025-08-25T19:08:00Z,SatNet LEO Group 10,A batch of Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.,Low Earth Orbit,"Commercial LC-1, Wenchang Space Launch Site, China",Success
Falcon 9 Block 5,2025-08-26T18:53:00Z,NAOS (LUXEOSys) & Others,"NAOS (National Advanced Optical System) is Luxembourg's military recon satellite.Designed for governmental and military purposes, the high-resolution reconnaissance satellite will provide global coverage, being able to capture more than one hundred images per day. By collecting the satellite’s data, Luxembourg intends to participate more actively in the Europe and North Atlantic Treaty Organization (NATO) defense efforts.The 645 kg satellite will be built by OHB Italia. It will have an operational lifetime of 7 years.LEAP-1 is Dhruva Space's first commercial satellite mission. It features payloads from Australian companies Akula Tech and Esper Satellites, hosted on Dhruva's P-30 satellite platform. LEAP-1 aims to demonstrate real-time geospatial AI processing in space and enable low-cost, hosted payload missions.Pelican is a constellation of very high resolution imaging satellites, designed and manufactured by Planet Labs. The commercial constellation will consist of 32 SmallSats with potential for further expansion, and aims to provide improved spatial resolution and response times over Planet’s existing SkySat and Dove constellations.Capella Space introduced its latest generation of satellites named """"Acadia"""", which offer increased imaging capability and improved communications connectivity. These satellites are smaller and lighter than previous models, but offer higher resolution and detection capabilities, enabling better Earth observation and more accurate decision-making.Capella Space's new generation of satellites feature synthetic aperture radar (SAR) technology, which allows them to capture images of the Earth in all weather conditions and at any time of the day or night. In addition, these satellites have enhanced communication capabilities, allowing them to transmit data and images faster and more efficiently.Firefly is Pixxel’s first commercial constellation, featuring six satellites designed for high-resolution, high-frequency hyperspectral imaging on a global scale.",Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Starship-Super Heavy Block 2,2025-08-26T23:30:00Z,Starship Flight 10,"Starship Flight 10's objectives and flight profile are similar to those attempted on the previous several launches.Ship 36, slated originally to support this launch, exploded during static fire testing at SpaceX's Masseys, a location they primarily use to complete proof testing of Ships and Boosters, and static fire testing of Ships. According to SpaceX, initial analysis indicated the failure, below proof pressure, of a composite overwrapped pressure vessel (COPV) containing gaseous nitrogen located within the Ship's nosecone area.Following Ship 36's anomaly, which inflicted significant damage at Masseys, SpaceX modified the launch pad to support static fire testing of Ship 37 while repair work continued at Masseys.Booster 16 will conduct several experiments before entering the ocean, including flipping in a controlled direction after stage separation, similar to that tested on Flight 9, and testing engine-out capability during the final landing burn.Ship 37 is planned to deploy 8 Starlink simulators, similar in size to next-generation Starlink satellites, into the same suborbital trajectory as the Ship itself.",Suborbital,"Orbital Launch Pad A, Starbase, Texas, USA",Success
Falcon 9 Block 5,2025-08-27T11:10:00Z,Starlink Group 10-56,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-08-28T08:12:00Z,Starlink Group 10-11,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-08-30T04:59:00Z,Starlink Group 17-7,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-08-31T11:49:00Z,Starlink Group 10-14,SpaceX launch of a batch of Starlink v2-mini satellites for their second-generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Shavit-2,2025-09-02T19:30:00Z,Ofek-19,Government/Top Secret,Low Earth Orbit,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Successful
Falcon 9,2025-09-03T03:51:00Z,Starlink Group 17-8,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Falcon 9,2025-09-03T11:56:00Z,Starlink Group 10-22,Communications,Low Earth Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
Long March 3C/YZ-1,2025-09-05T02:34:00Z,Shiyan 29,Government/Top Secret,Geosynchronous Orbit,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Successful
Ceres-1,2025-09-05T11:39:00Z,3 satellites,Technology,Sun-Synchronous Orbit,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China",Successful
Falcon 9,2025-09-05T12:32:00Z,Starlink Group 10-57,Communications,Low Earth Orbit,"Launch Complex 39A | Kennedy Space Center, FL, USA",Successful
Long March 6A,2025-09-06T16:34:00Z,Yaogan 40 Group 03,Government/Top Secret,Polar Orbit,"Launch Complex 9A | Taiyuan Satellite Launch Center, People's Republic of China",Successful
Falcon 9,2025-09-06T18:06:00Z,Starlink Group 17-9,Communications,Low Earth Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Smart Dragon 3,2025-09-08T19:48:00Z,Geely Constellation Group 05,Communications,Low Earth Orbit,Oriental Spaceport mobile launch ship | Sea Launch,Successful
Long March 7A,2025-09-09T02:00:00Z,Yaogan 45,Government/Top Secret,Medium Earth Orbit,"201 | Wenchang Space Launch Site, People's Republic of China",Successful
Falcon 9,2025-09-10T14:12:00Z,SDA Tranche 1 Transport Layer B,Government/Top Secret,Polar Orbit,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Successful
Soyuz 2.1a,2025-09-11T15:54:00Z,Progress MS-32 (93P),Resupply,Low Earth Orbit,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Successful
Falcon 9,2025-09-12T01:56:00Z,Nusantara Lima,Communications,Geostationary Transfer Orbit,"Space Launch Complex 40 | Cape Canaveral SFS, FL, USA",Successful
